id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
29,F,1.425,1.125,0.4,27.328918,8.9867915,4.97533725,8.50485,20.0
30,I,0.35,0.25,0.0875,0.41106775,0.15592225,0.0850485,0.113398,4.0
31,F,1.1125,0.8375,0.2625,11.169703,4.20990075,2.62232875,3.40194,11.0
32,I,1.0625,0.8625,0.2875,11.679994,4.6776675,1.80019325,3.5436875,8.0
33,I,1.425,1.1125,0.3375,19.80212575,9.76640275,3.95475525,6.23689,9.0
34,F,1.5,1.1875,0.4125,30.83008125,11.49572225,6.350288,8.788345,14.0
35,M,1.2125,0.925,0.3125,14.69921575,5.34388075,3.58621175,4.706017,9.0
36,I,1.425,1.0875,0.375,22.80717275,10.829509,4.52174525,5.8116475,9.0
37,M,1.525,1.2125,0.4625,30.1922175,14.7133905,7.3425205,8.0796075,10.0
38,F,1.4875,1.1625,0.375,26.12406425,9.48290775,5.9250455,7.654365,12.0
39,F,1.525,1.175,0.425,31.1561005,14.628342,6.59125875,8.788345,12.0
40,M,1.4125,1.1,0.375,26.138239,10.77281,5.046211,6.6621325,11.0
41,I,1.3875,1.05,0.375,18.86659225,8.561549,4.40834725,6.80388,9.0
42,M,0.95,0.7625,0.25,7.030676,2.721552,1.7293195,2.4097075,6.0
43,M,1.375,1.075,0.35,18.01610725,7.75358825,4.309124,5.953395,8.0
44,F,1.6375,1.275,0.4125,40.483086,18.21455375,7.98038425,12.757275,10.0
45,I,0.9875,0.725,0.25,7.144074,3.061746,1.6726205,2.26796,7.0
46,M,1.5875,1.2375,0.3875,36.78347625,15.0535845,7.98038425,10.3475675,13.0
47,I,0.775,0.5875,0.1875,3.6003865,1.17650425,0.86465975,1.13398,6.0
48,F,1.45,1.175,0.425,28.64716975,11.15552825,6.6054335,8.0796075,13.0
49,I,0.775,0.5875,0.225,4.43669675,1.6159215,0.963883,1.417475,5.0
50,F,1.6125,1.225,0.4375,36.55668025,17.90270925,8.448151,9.355335,9.0
51,M,1.4375,1.1375,0.3875,28.7180435,12.34620725,5.82582225,8.3631025,10.0
52,M,1.6,1.275,0.325,33.92017675,17.4349425,6.3219385,8.9300925,10.0
53,M,1.6125,1.2625,0.45,37.40716525,19.03668925,8.7032965,9.4970825,10.0
54,F,1.575,1.1875,0.4125,31.524644,13.834556,6.93145275,9.7805775,11.0
55,F,1.4375,1.1,0.3,22.55202725,7.86698625,5.93922025,6.80388,12.0
56,I,1.2375,0.9875,0.3125,16.51358375,7.087375,3.6003865,4.6776675,9.0
57,M,1.5125,1.175,0.4,28.8314415,15.06775925,5.57067675,7.58349125,9.0
58,I,1.1,0.8375,0.2625,12.7856245,6.87475375,2.381358,3.118445,7.0
59,F,1.6375,1.2625,0.45,40.1145425,15.52135125,8.88756825,12.48795475,17.0
60,I,1.175,0.875,0.325,12.94154675,5.74077375,2.778251,3.685435,7.0
61,F,1.5875,1.2875,0.4375,35.777069,13.87708025,7.35669525,11.32562525,10.0
62,I,1.075,0.825,0.275,10.41844125,4.6209685,2.36718325,2.79242575,7.0
63,I,1.175,0.925,0.25,11.3398,5.0745605,2.33883375,3.685435,7.0
64,I,1.4125,1.1,0.4,23.65765775,9.42620875,4.7343665,7.2291225,9.0
65,I,1.1,0.825,0.2875,10.5176645,4.8477645,2.25378525,2.9766975,7.0
66,M,1.45,1.1125,0.4125,25.41532675,11.4248485,6.50621025,8.3631025,10.0
67,I,1.3875,1.1,0.3375,23.85610425,11.07047975,4.3374735,6.80388,8.0
68,M,1.5875,1.275,0.4375,42.354153,13.99047825,9.39785925,15.30873,17.0
69,F,1.5625,1.25,0.3875,38.9805625,15.97494325,7.98038425,11.7650425,21.0
70,M,1.6625,1.2875,0.4375,44.21104525,19.83047525,10.16329575,10.489315,10.0
71,F,1.575,1.225,0.3875,32.16250775,14.47241975,9.8372765,8.788345,11.0
72,M,1.525,1.0625,0.4125,26.7902775,11.58077075,7.55514175,7.087375,8.0
73,I,1.25,0.9625,0.3125,13.90542975,6.5487345,3.61456125,3.5436875,7.0
74,I,0.9625,0.75,0.225,7.81028725,2.7499015,1.0489315,2.26796,6.0
75,I,0.8375,0.65,0.225,5.06038575,2.42388225,1.65844575,1.984465,7.0
76,I,1.1125,0.825,0.3375,16.45688475,4.74854125,3.27436725,5.896696,10.0
77,I,1.3125,1.0,0.3625,20.08562075,7.93786,4.01145425,5.10291,11.0
78,I,0.775,0.5625,0.175,4.082328,1.587572,0.86465975,1.247378,7.0
79,M,1.6125,1.225,0.4,32.2333815,12.7289255,7.52679225,8.68912175,9.0
80,F,1.1,0.9375,0.3125,16.68368075,7.07320025,3.3168915,5.2446575,10.0
81,F,1.525,1.175,0.4125,28.576296,11.92096475,6.30776375,8.0796075,8.0
82,M,1.2,0.9,0.3125,14.69921575,6.2652395,3.288542,4.6776675,10.0
83,M,1.475,1.125,0.375,26.18076325,11.3114505,5.57067675,7.5126175,12.0
84,M,1.3625,1.0625,0.375,25.86891875,10.5176645,5.20213325,8.50485,8.0
85,M,1.4125,1.075,0.3875,22.169309,7.994559,5.03203625,7.7961125,13.0
86,M,1.475,1.175,0.4125,27.0170735,12.303683,6.13766675,7.767763,11.0
87,M,1.25,0.975,0.3125,17.463292,7.04485075,3.04757125,5.5281525,7.0
88,F,1.4375,1.175,0.425,28.576296,10.6877615,6.4920355,9.02931575,15.0
89,F,1.3625,1.075,0.375,24.8625115,12.26115875,4.706017,6.0951425,8.0
90,I,0.875,0.7375,0.2375,7.95203475,3.1467945,1.757669,2.4097075,7.0
91,M,1.65,1.2875,0.4625,39.27823225,13.947954,9.56795625,10.61688775,10.0
92,M,1.45,1.15,0.3625,25.69882175,10.19164525,5.62737575,7.7961125,15.0
93,I,1.3625,1.0875,0.4,20.921931,8.9300925,4.12485225,6.3786375,9.0
94,M,1.625,1.2375,0.4,36.7693015,16.62698175,9.241937,9.2135875,11.0
95,M,1.5375,1.2125,0.3875,29.0582375,14.04717725,7.5126175,8.50485,9.0
96,I,1.4375,1.125,0.3875,26.32251075,10.61688775,5.5848515,7.7961125,10.0
97,M,0.7375,0.5875,0.2,4.06815325,1.5025235,0.793786,1.417475,9.0
98,M,1.4125,1.1,0.3625,26.251637,10.95708175,6.8889285,7.654365,14.0
99,F,1.6,1.2875,0.4,35.096681,16.839603,7.540967,8.9300925,11.0
100,F,1.525,1.2125,0.4,31.51046925,11.8784405,7.37087,9.355335,14.0
101,I,1.2,0.9375,0.3,14.571643,5.28718175,4.025629,4.9611625,9.0
102,I,1.0625,0.8125,0.275,9.73805325,3.95475525,2.36718325,2.83495,7.0
103,F,1.425,1.125,0.3875,33.0271675,15.71979775,6.67630725,8.788345,11.0
104,F,1.65,1.2625,0.475,38.68289275,14.44407025,8.57572375,11.90679,16.0
105,M,1.5125,1.175,0.4,32.89959475,9.1001895,7.824462,10.6310625,14.0
106,I,1.1,0.85,0.3375,14.571643,4.74854125,2.28213475,5.2446575,14.0
107,I,0.775,0.5375,0.1875,3.81300775,1.474174,0.793786,1.190679,5.0
108,F,1.425,1.175,0.4625,33.26813825,13.60776,5.74077375,10.20582,21.0
109,F,1.2625,0.9625,0.35,17.90270925,8.391452,3.72795925,4.819415,8.0
110,M,1.575,1.2,0.4,34.529691,17.16562225,7.35669525,9.922325,12.0
111,M,1.5875,1.2125,0.4125,33.8776525,15.97494325,9.62465525,8.9300925,11.0
112,I,1.2125,0.9875,0.3125,15.3937785,5.896696,3.86970675,4.252425,6.0
113,M,1.4375,1.125,0.375,25.798045,12.3320325,5.11708475,7.5126175,8.0
114,M,1.2,0.975,0.3125,21.4038725,8.8733935,3.7137845,7.5126175,9.0
115,M,1.525,1.15,0.4,28.61882025,12.6722265,6.13766675,7.087375,8.0
116,M,1.3625,1.1,0.3875,25.8263945,9.525432,6.16601625,7.2291225,8.0
117,F,1.5625,1.225,0.4,32.4601775,12.2753335,7.9662095,8.9300925,10.0
118,F,1.7,1.3125,0.4625,44.4236665,19.94387325,10.56018875,11.4815475,11.0
119,M,1.425,1.1125,0.4125,27.68328675,11.3398,5.40057975,8.50485,13.0
120,M,1.6375,1.325,0.5125,51.199197,23.530085,10.70193625,13.891255,12.0
121,M,1.5125,1.1875,0.3875,32.034935,14.514944,7.257472,8.6465975,9.0
122,M,1.4875,1.1625,0.375,29.66775175,13.19669225,6.917278,7.37087,12.0
123,M,1.425,1.1,0.35,26.6201805,8.618248,5.8683465,7.37087,12.0
124,I,1.05,0.7875,0.275,11.5382465,4.37999775,2.08368825,3.2601925,7.0
125,F,1.2,1.0,0.3125,17.50581625,6.90310325,3.742134,7.2291225,13.0
126,I,1.275,0.9375,0.3125,15.3937785,6.5487345,3.345241,4.252425,8.0
127,F,1.5625,1.2125,0.475,37.74735925,13.19669225,9.9506745,11.7650425,16.0
128,M,1.3625,1.05,0.35,23.11901725,10.64523725,4.40834725,6.80388,8.0
129,M,1.6125,1.2625,0.475,37.0527965,17.8885345,9.015141,10.77281,12.0
130,M,1.35,1.0375,0.35,23.79940525,10.6310625,5.2446575,5.386405,8.0
131,F,1.3,1.025,0.375,20.638436,9.07184,4.4508715,5.953395,10.0
132,F,1.6125,1.3,0.4625,38.96638775,12.82814875,7.41339425,12.5021295,17.0
133,I,1.3125,1.0,0.3125,19.17843675,9.07184,4.46504625,5.2446575,8.0
134,F,1.5375,1.175,0.4625,31.127751,14.4298955,6.67630725,8.6465975,10.0
135,I,0.975,0.725,0.2375,7.55514175,3.55786225,1.91359125,2.2963095,7.0
136,M,1.425,1.0375,0.325,17.95940825,8.54737425,4.60679375,4.9611625,8.0
137,I,1.2125,0.9,0.275,14.7133905,5.953395,3.118445,4.1106775,8.0
138,M,1.5375,1.2625,0.3875,37.137845,15.18115725,7.98038425,9.2135875,9.0
139,I,1.375,1.0125,0.3625,23.40251225,8.788345,4.195726,5.2446575,11.0
140,M,1.625,1.2375,0.4,32.5479465,15.7906715,6.2652395,8.9300925,9.0
141,I,0.8,0.675,0.225,5.96756975,2.381358,1.5025235,1.984465,7.0
142,M,1.4375,1.125,0.3875,26.988724,10.75863525,6.0951425,8.0796075,13.0
143,F,1.5625,1.2125,0.4875,36.61337925,14.401546,7.89533575,11.12717875,12.0
144,M,1.6125,1.25,0.4,40.44056175,17.860185,8.4765005,9.7238785,9.0
145,I,1.0125,0.7875,0.25,10.6877615,4.26659975,2.08368825,2.9766975,7.0
146,I,1.15,0.875,0.3125,15.49300175,6.02426875,3.30271675,4.819415,13.0
147,F,1.575,1.2375,0.375,32.16250775,13.73533275,8.3631025,8.9300925,11.0
148,I,1.0625,0.8375,0.2875,9.979024,3.86970675,2.0128145,2.83495,10.0
149,M,1.575,1.2,0.4375,32.772022,13.99047825,7.767763,8.9300925,12.0
150,M,1.675,1.3125,0.475,45.7277435,17.59086475,9.07184,12.0485375,11.0
151,F,1.45,1.125,0.375,28.292801,12.62970225,6.22271525,8.0796075,11.0
152,M,1.425,1.1,0.425,24.9192105,8.845044,5.25883225,7.5126175,12.0
153,I,0.8625,0.675,0.225,5.85417175,2.551455,1.03475675,1.984465,6.0
154,I,1.175,0.8875,0.35,14.231449,5.8683465,3.061746,4.53592,14.0
155,F,1.475,1.1375,0.3875,28.519597,11.35397475,6.13766675,9.07184,9.0
156,F,1.4,1.125,0.425,29.69610125,10.78698475,6.25106475,8.0229085,12.0
157,F,1.625,1.2625,0.475,39.2073585,18.6256215,9.865626,10.489315,11.0
158,I,1.075,0.8375,0.25,10.8011595,4.52174525,2.22543575,3.2601925,8.0
159,M,1.4625,1.1375,0.425,35.22425375,15.592225,8.00873375,9.4970825,14.0
160,M,1.6,1.25,0.4875,34.8415355,13.42348825,8.5331995,10.6310625,10.0
161,M,1.5875,1.25,0.4125,36.10308825,17.10892325,8.12213175,9.4970825,9.0
162,F,1.3125,1.025,0.4,21.47474625,7.93786,4.649318,7.087375,12.0
163,I,1.0375,0.8125,0.2875,10.53183925,4.60679375,2.25378525,2.9766975,7.0
164,F,1.15,0.8625,0.275,13.097469,6.123492,3.0333965,3.685435,9.0
165,I,0.5625,0.4,0.1,1.31825175,0.7087375,0.4252425,0.4252425,4.0
166,M,1.45,1.075,0.3125,22.04173625,9.87980075,5.216308,5.8116475,9.0
167,I,1.0,0.775,0.2375,8.12213175,3.92640575,1.9561155,2.25378525,6.0
168,M,1.0875,0.825,0.2875,9.19941275,3.742134,2.36718325,3.2601925,11.0
169,M,1.3125,1.025,0.3125,23.85610425,10.90038275,4.3941725,6.9456275,10.0
170,M,1.625,1.3125,0.4375,37.15201975,16.44271,9.241937,11.4815475,13.0
171,I,1.0375,0.7875,0.25,9.1001895,3.41611475,1.8427175,2.6932025,7.0
172,F,1.725,1.35,0.4375,44.395317,17.67591325,7.881161,13.324265,13.0
173,F,1.35,1.0625,0.3375,24.323871,9.1001895,5.59902625,5.953395,18.0
174,F,1.2,0.9625,0.3,17.30736975,6.633783,3.84135725,5.386405,12.0
175,M,1.55,1.225,0.3625,31.70891575,15.1102835,7.3425205,7.7394135,9.0
176,F,1.175,0.925,0.3125,13.53688625,5.613201,2.99087225,4.252425,10.0
177,M,1.775,1.3875,0.5,53.410458,26.251637,12.8423235,12.47378,11.0
178,F,1.6375,1.3125,0.3875,38.55532,13.93377925,8.80251975,11.90679,13.0
179,F,1.5,1.25,0.375,31.127751,13.99047825,7.257472,9.63883,10.0
180,M,1.425,1.1375,0.375,26.12406425,10.41844125,5.556502,8.6465975,10.0
181,I,0.4875,0.325,0.125,0.8221355,0.340194,0.226796,0.283495,4.0
182,F,1.7375,1.3125,0.5375,59.6189985,25.86891875,11.60912025,16.045817,13.0
183,F,1.675,1.375,0.4,47.230267,19.4761065,10.4042665,13.60776,11.0
184,M,1.325,1.0,0.3375,20.70930975,7.6827145,4.32329875,7.2291225,11.0
185,I,0.9625,0.7125,0.2125,7.427569,3.04757125,1.54504775,1.984465,7.0
186,I,0.8625,0.6375,0.2,4.55009475,2.211261,0.680388,1.417475,7.0
187,I,0.8375,0.65,0.1875,5.783298,1.77184375,1.247378,1.984465,6.0
188,M,1.5375,1.175,0.3875,29.1716355,13.79203175,7.01650125,8.0796075,11.0
189,M,1.2,0.925,0.3375,14.2030995,6.293589,3.33106625,4.819415,11.0
190,I,0.725,0.5375,0.1875,3.40194,1.17650425,0.623689,0.97805775,6.0
191,I,1.025,0.7625,0.225,10.27669375,4.69184225,1.8427175,2.1262125,6.0
192,I,1.2125,0.9125,0.2875,14.61416725,6.98815175,3.005047,4.1673765,8.0
193,F,1.5125,1.2125,0.4,33.12639075,13.65028425,7.484268,7.5126175,10.0
194,F,1.55,1.225,0.4125,34.6147395,15.52135125,7.3992195,8.50485,9.0
195,M,1.5125,1.1625,0.4,31.2694985,13.834556,6.406987,8.50485,9.0
196,I,1.025,0.8125,0.2875,11.2547515,5.556502,2.22543575,2.9199985,8.0
197,M,1.6125,1.275,0.4375,39.24988275,19.504456,8.77417025,10.56018875,11.0
198,I,1.0875,0.85,0.275,9.11436425,3.685435,1.7860185,2.83495,8.0
199,M,1.4375,1.175,0.375,27.499015,14.4865945,5.40057975,7.597666,8.0
200,M,1.2125,0.925,0.3125,16.23008875,5.9817445,4.139027,4.6776675,10.0
201,F,1.6125,1.25,0.4375,41.23434775,16.839603,8.6465975,12.8990225,21.0
202,F,1.35,1.05,0.325,21.8007655,8.46232575,4.3941725,6.3219385,12.0
203,M,1.4375,1.1625,0.3875,29.49765475,15.80484625,6.860579,8.9300925,12.0
204,I,0.4875,0.375,0.125,1.06310625,0.3118445,0.18427175,0.3118445,4.0
205,I,0.6375,0.4625,0.15,2.26796,0.7654365,0.4819415,0.510291,6.0
206,M,1.65,1.3875,0.5,58.7685135,28.8314415,12.96989625,14.5999925,12.0
207,M,1.3125,1.0125,0.35,19.7029025,6.98815175,4.37999775,5.03203625,11.0
208,M,1.4,1.0625,0.3375,22.52367775,8.788345,4.819415,6.7755305,11.0
209,M,1.725,1.375,0.5,53.69921575,25.004259,12.57300325,12.757275,12.0
210,F,1.525,1.2125,0.3875,32.33260475,14.72756525,6.16601625,8.2497045,9.0
211,F,1.6375,1.2875,0.425,38.96638775,18.427175,7.78193775,10.6310625,11.0
212,M,1.5375,1.225,0.375,32.16250775,16.839603,6.010094,8.20718025,9.0
213,I,0.825,0.6375,0.225,5.85417175,2.721552,1.2190285,1.71514475,7.0
214,F,1.675,1.325,0.525,39.41997975,17.08057375,8.46232575,11.3398,10.0
215,I,1.0375,0.7625,0.2375,9.412034,5.17378375,2.2396105,2.83495,7.0
216,M,1.4875,1.15,0.3375,25.92561775,11.12717875,5.48562825,7.93786,9.0
217,I,1.175,0.8875,0.2875,13.0124205,6.0384435,3.30271675,3.8271825,10.0
218,I,1.125,0.875,0.2625,13.664459,6.5487345,3.01922175,3.118445,7.0
219,I,1.075,0.85,0.2625,10.716111,4.23825025,2.3530085,2.9766975,8.0
220,M,1.55,1.2,0.3875,30.57493575,14.628342,6.73300625,7.484268,9.0
221,F,1.45,1.1125,0.3875,27.73998575,11.1413535,6.350288,8.788345,10.0
222,F,1.15,0.875,0.2875,12.37455675,5.499803,2.8066005,3.5436875,11.0
223,F,1.175,0.8875,0.3,13.31009025,5.499803,2.99087225,4.3941725,10.0
224,I,1.0,0.775,0.275,8.63242275,3.9405805,1.80019325,2.83495,7.0
225,I,1.375,1.0625,0.3625,23.48756075,9.87980075,4.94698775,7.2291225,10.0
226,M,1.55,1.2,0.475,32.034935,16.726205,6.520385,8.6465975,10.0
227,M,1.625,1.25,0.4625,37.1094955,13.99047825,9.05766525,12.190285,18.0
228,I,1.125,0.8875,0.3125,13.9196045,6.05261825,3.04757125,3.81300775,8.0
229,I,0.9375,0.6875,0.225,6.7188315,3.061746,1.14815475,2.26796,6.0
230,M,1.475,1.1125,0.35,27.14464625,10.2341695,5.82582225,7.93786,8.0
231,F,1.1,0.8,0.3125,16.159215,8.06543275,3.01922175,4.3941725,8.0
232,M,1.3375,1.1375,0.375,24.323871,11.8217415,5.556502,6.1518415,9.0
233,M,1.5375,1.1375,0.3625,32.78619675,16.96717575,7.27164675,8.3631025,10.0
234,I,1.2,0.9625,0.325,18.71067,8.0796075,4.26659975,4.9611625,9.0
235,I,1.4375,1.1,0.35,24.777463,9.87980075,5.8683465,7.7961125,10.0
236,M,1.4,1.0875,0.375,29.1149365,14.13222575,6.5487345,6.520385,9.0
237,I,1.125,0.875,0.325,10.0073735,4.592619,2.31048425,3.5436875,9.0
238,I,1.0,0.775,0.225,7.8528115,3.40194,1.77184375,2.1262125,6.0
239,M,1.1875,0.9,0.3125,16.76872925,8.164656,3.6003865,4.6776675,8.0
240,M,1.275,0.9625,0.3125,16.9813505,6.7188315,3.04757125,4.3941725,9.0
241,M,1.5625,1.2,0.4,35.76289425,17.56251525,8.051258,8.9867915,8.0
242,M,0.9625,0.7125,0.2125,7.18659825,2.7499015,1.417475,2.551455,10.0
243,M,1.275,0.9875,0.3,15.43630275,7.10154975,3.798833,4.9611625,9.0
244,M,1.5,1.175,0.425,29.1716355,11.63746975,7.0023265,10.20582,14.0
245,M,1.4375,1.125,0.3625,24.5790165,11.4815475,6.27941425,6.633783,13.0
246,M,1.4,1.1,0.325,20.41164,9.525432,3.2601925,6.0951425,10.0
247,F,1.1,0.875,0.2625,14.61416725,6.90310325,2.90582375,3.685435,8.0
248,M,1.35,1.0625,0.3625,20.96445525,8.731646,4.89028875,7.087375,10.0
249,M,1.55,1.2,0.4,34.529691,15.77649675,7.4559185,8.9300925,11.0
250,I,1.5,1.1875,0.4625,30.83008125,14.04717725,6.066793,9.2135875,10.0
251,M,0.9375,0.6875,0.2625,6.80388,2.664853,1.48834875,2.4097075,9.0
252,I,0.975,0.725,0.2875,15.06775925,8.7032965,2.608154,3.8271825,9.0
253,I,0.85,0.6875,0.225,5.85417175,2.211261,1.6726205,1.871067,7.0
254,F,1.3375,1.0875,0.3875,23.88445375,7.3425205,4.4508715,7.7961125,13.0
255,F,1.3875,1.125,0.35,22.77882325,11.43902325,4.52174525,6.10931725,9.0
256,F,1.3875,1.1,0.4125,29.937072,12.757275,7.314171,7.654365,10.0
257,M,1.4375,1.2,0.375,26.94619975,10.5176645,6.6621325,7.93786,10.0
258,I,1.1625,0.9375,0.2875,14.8834875,7.29999625,2.9199985,4.819415,7.0
259,I,0.7375,0.5625,0.225,3.67126025,1.74349425,1.0489315,1.0489315,6.0
260,F,1.7875,1.375,0.45,53.14113775,25.8830935,12.6722265,15.01106025,11.0
261,M,1.25,1.0,0.35,20.3265915,7.75358825,4.422522,7.2291225,8.0
262,F,1.5125,1.175,0.375,29.937072,13.19669225,5.9250455,7.7961125,8.0
263,I,0.875,0.625,0.2125,6.2085405,2.6932025,1.8994165,1.984465,9.0
264,M,1.4875,1.2,0.4375,34.0477495,14.04717725,7.35669525,10.77281,13.0
265,F,1.475,1.1375,0.4,26.9036755,12.77144975,6.78970525,7.7961125,9.0
266,M,1.625,1.2375,0.475,38.82464025,16.4710595,7.427569,10.3475675,12.0
267,F,1.5625,1.1875,0.375,32.0065855,14.401546,6.80388,8.9300925,10.0
268,F,1.575,1.2875,0.4375,35.02580725,16.82542825,6.123492,11.90679,12.0
269,F,1.4,1.15,0.375,23.88445375,7.98038425,4.252425,8.9300925,14.0
270,I,1.6125,1.25,0.375,37.54891275,17.08057375,7.29999625,9.355335,10.0
271,F,1.8,1.4125,0.5,50.972401,24.70658925,9.9506745,12.85649825,11.0
272,I,0.725,0.525,0.175,3.38776525,1.360776,0.52446575,0.850485,6.0
273,F,1.1,0.8625,0.275,11.18387775,4.80524025,2.5798045,3.685435,10.0
274,I,1.4,1.125,0.375,25.231055,11.623295,5.9817445,7.2291225,9.0
275,M,1.5625,1.225,0.4125,35.19590425,16.6411565,7.6260155,9.63883,14.0
276,M,1.5125,1.125,0.35,26.2232875,10.90038275,6.406987,8.278054,9.0
277,F,1.2625,0.975,0.3125,18.55474775,7.78193775,3.92640575,4.819415,15.0
278,M,1.525,1.15,0.3375,26.46425825,13.664459,5.45727875,6.6621325,8.0
279,F,1.3125,1.0,0.35,20.19901875,8.0796075,4.2807745,5.953395,9.0
280,I,1.1625,0.875,0.275,15.83319575,7.1157245,2.8066005,3.33106625,8.0
281,M,1.1875,0.9,0.35,13.8062065,5.499803,3.01922175,4.819415,9.0
282,F,1.55,1.1875,0.3625,24.0687255,9.8939755,5.57067675,7.7961125,12.0
283,F,1.7375,1.375,0.5625,51.29842025,22.226008,11.52407175,12.3320325,11.0
284,I,1.1875,0.925,0.375,13.154168,6.25106475,3.33106625,3.175144,8.0
285,F,1.5375,1.2125,0.4125,34.23202125,13.834556,7.01650125,11.056305,17.0
286,M,1.3,1.0,0.3375,16.40018575,7.35669525,4.32329875,5.896696,12.0
287,M,1.55,1.2375,0.4,29.80949925,12.3320325,5.2446575,10.56018875,9.0
288,M,1.425,1.15,0.425,27.839209,11.4815475,6.16601625,8.0796075,11.0
289,F,1.5375,1.2125,0.425,34.60056475,14.50076925,7.89533575,10.0640725,10.0
290,M,1.425,1.1625,0.3875,26.54930675,10.5176645,6.2085405,8.0796075,12.0
291,M,1.5875,1.2875,0.425,35.62114675,16.499409,8.845044,9.63883,9.0
292,F,1.5,1.1625,0.375,29.9654215,12.82814875,6.78970525,7.087375,9.0
293,M,1.3875,1.1,0.375,25.3728025,13.5794105,5.2446575,7.93786,9.0
294,M,1.5,1.175,0.4,26.2799865,9.51125725,5.96756975,8.221355,11.0
295,M,0.95,0.7625,0.2,7.10154975,2.76407625,1.7860185,2.551455,6.0
296,F,1.5,1.175,0.4625,32.601925,14.47241975,7.2858215,8.9300925,11.0
297,M,1.6,1.2375,0.5,42.2124055,17.95940825,9.99319875,10.77281,17.0
298,I,1.3125,0.9875,0.375,16.82542825,6.8889285,3.7137845,5.953395,16.0
299,M,1.325,1.025,0.35,20.19901875,9.19941275,4.69184225,5.8116475,10.0
300,F,1.7875,1.375,0.4125,34.246196,15.77649675,8.29222875,10.3475675,9.0
301,F,0.875,0.65,0.2,5.8116475,2.211261,1.6726205,1.8427175,13.0
302,M,1.325,1.025,0.3125,20.28406725,8.9867915,4.52174525,5.5281525,9.0
303,M,1.375,1.1,0.3625,22.792998,8.43397625,5.11708475,7.5126175,13.0
304,I,0.875,0.675,0.2375,6.0951425,3.30271675,1.190679,1.8427175,7.0
305,M,1.5,1.1875,0.4,33.12639075,13.65028425,8.63242275,9.355335,13.0
306,F,1.5,1.1625,0.45,31.808139,14.04717725,6.64795775,8.2497045,9.0
307,M,0.9875,0.725,0.275,6.3219385,2.42388225,1.6159215,2.1262125,14.0
308,F,1.6125,1.225,0.4,33.12639075,13.9763035,7.3425205,8.9300925,12.0
309,I,1.3875,1.075,0.4,22.5378525,10.21999475,4.40834725,7.597666,9.0
310,I,1.375,1.125,0.325,22.75047375,10.47514025,4.3941725,6.80388,9.0
311,M,0.7,0.525,0.1625,2.8632995,1.17650425,0.52446575,0.9922325,5.0
312,F,1.4875,1.125,0.3625,27.895908,11.623295,6.1518415,7.5126175,10.0
313,F,1.5125,1.1375,0.3875,28.81726675,11.963489,6.36446275,9.07184,13.0
